Year,Month&Quarter,Occ_rate,Occ_yoy,Guests_total,Guests_yoy,Total_vis,Vis_yoy,Thai_vis,Thai_vis_yoy,Foreign_vis,Foreign_vis_yoy,Rev_total,Rev_yoy,Rev_thai,Rev_thai_yoy,Rev_foreign,Rev_foreign_yoy,MotoGP,Covid,Marathon,PhanomRung_Festival,Football_Month,Football_date,Football_match
2560,มกราคม - มีนาคม,,,,,,,,,,,,,,,,,,,,,กุมภาพันธ์,25/2/2017,บุรีรัมย์ ยูไนเต็ด - พัทยา ยูไนเต็ด
2560,มกราคม - มีนาคม,,,,,,,,,,,,,,,,,,,,,มีนาคม,8/3/2017,บุรีรัมย์ ยูไนเต็ด - นครราชสีมา มาสด้า เอฟซี
2560,เมษายน - มิถุนายน,54.9,2.66,"244,081",5.85,"522,578",4.96,"512,205",4.96,"10,373",4.99,712.46,10.96,698.55,10.89,13.91,14.39,0,0,0,1,เมษายน,3/4/2017,บุรีรัมย์ ยูไนเต็ด - เมืองทอง ยูไนเต็ด
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,เมษายน,18/4/2017,บุรีรัมย์ ยูไนเต็ด - ซุปเปอร์ พาวเวอร์ สมุทรปราการ เอฟซี
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,เมษายน,29/4/2017,บุรีรัมย์ ยูไนเต็ด - ศรีสะเกษ ยูไนเต็ด
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,7/5/2017,บุรีรัมย์ ยูไนเต็ด - ราชบุรี เอฟซี
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,17/5/2017,บุรีรัมย์ ยูไนเต็ด - สุพรรณบุรี เอฟซี
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,27/5/2017,บุรีรัมย์ ยูไนเต็ด - แบงค็อก ยูไนเต็ด
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,มิถุนายน,17/6/2017,บุรีรัมย์ ยูไนเต็ด - ราชนาวี เอฟซี
2560,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,มิถุนายน,28/6/2017,บุรีรัมย์ ยูไนเต็ด - ไทยฮอนด้า เอฟซี
2560,กรกฎาคม - กันยายน,46.08,2.88,"205,778",7.92,"337,295",7.04,"327,071",7.01,"10,224",8.03,576.27,15.08,561.61,15.02,14.66,17.37,0,0,0,0,กรกฎาคม,5/7/2017,บุรีรัมย์ ยูไนเต็ด - การท่าเรือ เอฟซี
2560,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กรกฎาคม,29/7/2017,บุรีรัมย์ ยูไนเต็ด - อุบล ยูไนเต็ด
2560,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,สิงหาคม,2/8/2017,บุรีรัมย์ ยูไนเต็ด - พิษณุโลก เอฟซี
2560,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,10/9/2017,บุรีรัมย์ ยูไนเต็ด - เชียงราย ยูไนเต็ด
2560,กรกฎาคม - กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,20/9/2017,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2560,ตุลาคม - ธันวาคม,51.04,3.62,"226,775",11.61,"388,169",15.56,"382,690",15.58,"5,479",14.24,659.79,22.24,650.52,22.15,9.27,28.75,0,0,0,0,ตุลาคม,11/10/2017,บุรีรัมย์ ยูไนเต็ด - เมืองทอง ยูไนเต็ด
2560,ตุลาคม - ธันวาคม,,,,,,,,,,,,,,,,,,,,,ตุลาคม,14/10/2017,บุรีรัมย์ ยูไนเต็ด - สุโขทัย เอฟซี
2560,ตุลาคม - ธันวาคม,,,,,,,,,,,,,,,,,,,,,พฤศจิกายน,8/11/2017,บุรีรัมย์ ยูไนเต็ด - โปลิศ เทโร เอฟซี
2559,มกราคม - มีนาคม,55.77,2.76,"232,718",15.56,"391,999",13.7,"381,463",13.8,"10,536",10.19,663.89,13.56,652.44,13.65,11.45,8.53,0,0,0,0,มีนาคม,9/3/2016,บุรีรัมย์ ยูไนเต็ด - ราชนาวี เอฟซี
2559,มกราคม - มีนาคม,,,,,,,,,,,,,,,,,,,,,มีนาคม,30/3/2016,บุรีรัมย์ ยูไนเต็ด - สุพรรณบุรี เอฟซี
2559,เมษายน - มิถุนายน,52.2,3.47,"230,589",7.3,"497,861",5.14,"487,981",5.12,"9,880",5.82,642.09,13.95,629.93,13.99,12.16,12.07,0,0,0,1,เมษายน,15/4/2016,บุรีรัมย์ ยูไนเต็ด - ชลบุรี เอฟซี
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,เมษายน,27/4/2016,บุรีรัมย์ ยูไนเต็ด - เมืองทอง ยูไนเต็ด
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,8/5/2016,บุรีรัมย์ ยูไนเต็ด - ชัยนาท ฮอร์นบิล เอฟซี
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,14/5/2016,บุรีรัมย์ ยูไนเต็ด - ทหารบก เอฟซี
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,28/5/2016,บุรีรัมย์ ยูไนเต็ด - นครราชสีมา มาสด้า เอฟซี
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,มิถุนายน,12/6/2016,บุรีรัมย์ ยูไนเต็ด - ราชบุรี เอฟซี
2559,เมษายน - มิถุนายน,,,,,,,,,,,,,,,,,,,,,มิถุนายน,15/6/2016,บุรีรัมย์ ยูไนเต็ด - วงษ์ชวลิตกุล เอฟซี
